マンション名	住所	立地1	立地2	立地3	築年数	建物の高さ	階層	賃料料	管理費	敷/礼/保証/敷引,償却	間取り	専有面積	詳細URL
ブランズシティ品川勝島	東京都品川区勝島１	東京モノレール/大井競馬場前駅 歩8分	京急本線/鮫洲駅 歩11分	りんかい線/品川シーサイド駅 歩14分	築5年	地下1地上18階建	13階	19万円	10000円	19万円/19万円	3LDK	71.01m2	https://suumo.jp/chintai/jnc_000024233193/?bc=100194357736
ブランズシティ品川勝島	東京都品川区勝島１	東京モノレール/大井競馬場前駅 歩8分	京急本線/鮫洲駅 歩11分	りんかい線/品川シーサイド駅 歩14分	築5年	地下1地上18階建	13階	19万円	10000円	19万円/19万円	3LDK	71.01m2	https://suumo.jp/chintai/jnc_000042826203/?bc=100194433966
レジディアタワー目黒不動前	東京都品川区西五反田３	ＪＲ山手線/五反田駅 歩7分	東急目黒線/不動前駅 歩7分	ＪＲ山手線/目黒駅 歩14分	築14年	地下3地上30階建	12階	16.9万円	-	33.8万円/16.9万円	1LDK	37.51m2	https://suumo.jp/chintai/jnc_000057189618/?bc=100193508354
レジディアタワー目黒不動前	東京都品川区西五反田３	ＪＲ山手線/五反田駅 歩7分	東急目黒線/不動前駅 歩7分	ＪＲ山手線/目黒駅 歩14分	築14年	地下3地上30階建	6階	16.3万円	15000円	16.3万円/-	1LDK	37.51m2	https://suumo.jp/chintai/jnc_000056368998/?bc=100188777276
レジディアタワー目黒不動前	東京都品川区西五反田３	ＪＲ山手線/五反田駅 歩7分	東急目黒線/不動前駅 歩7分	ＪＲ山手線/目黒駅 歩14分	築14年	地下3地上30階建	12階	16.9万円	15000円	16.9万円/16.9万円	1LDK	37.51m2	https://suumo.jp/chintai/jnc_000056876465/?bc=100193477338
レジディアタワー目黒不動前	東京都品川区西五反田３	ＪＲ山手線/五反田駅 歩7分	東急目黒線/不動前駅 歩7分	ＪＲ山手線/目黒駅 歩14分	築14年	地下3地上30階建	12階	16.9万円	15000円	33.8万円/16.9万円	1LDK	37.51m2	https://suumo.jp/chintai/jnc_000057208518/?bc=100193602353
レジディアタワー目黒不動前	東京都品川区西五反田３	ＪＲ山手線/五反田駅 歩7分	東急目黒線/不動前駅 歩7分	ＪＲ山手線/目黒駅 歩14分	築14年	地下3地上30階建	12階	18.4万円	8000円	18.4万円/18.4万円	1LDK	43.97m2	https://suumo.jp/chintai/jnc_000056876463/?bc=100034123941
レジディアタワー目黒不動前	東京都品川区西五反田３	ＪＲ山手線/五反田駅 歩7分	東急目黒線/不動前駅 歩7分	ＪＲ山手線/目黒駅 歩14分	築14年	地下3地上30階建	4階	18万円	15000円	36万円/18万円	1LDK	43.19m2	https://suumo.jp/chintai/jnc_000055490152/?bc=100192636583
レジディアタワー目黒不動前	東京都品川区西五反田３	ＪＲ山手線/五反田駅 歩7分	東急目黒線/不動前駅 歩7分	ＪＲ山手線/目黒駅 歩14分	築14年	地下3地上30階建	6階	18.1万円	15000円	36.2万円/18.1万円	1LDK	43.87m2	https://suumo.jp/chintai/jnc_000056876470/?bc=100192636584
レジディアタワー目黒不動前	東京都品川区西五反田３	ＪＲ山手線/五反田駅 歩7分	東急目黒線/不動前駅 歩7分	ＪＲ山手線/目黒駅 歩14分	築14年	地下3地上30階建	12階	18.4万円	15000円	36.8万円/18.4万円	1LDK	43.97m2	https://suumo.jp/chintai/jnc_000056876464/?bc=100191479622
